"consumption","SMI","unemployment_proxy","electricity","mobility","net_bankruptcies","air_pollution","c19_cases","stringency"
229469118.700058,9617.98,179889,130.927153192128,-22.8,89.6089187057472,66.266666665,59.4429503027766,77.78
231809875.462818,9665.35,179853,131.01418078762,-21.6,90.3155463045042,67.316666685,52.2934936777951,77.78
234111276.673475,9665.35,180271,131.094749784429,-19.6,91.0333800002072,64.38333335,45.7830688541171,77.78
236380548.743243,9665.35,180690,131.168962619522,-23,91.768576817986,55.033333335,39.8801699490465,77.78
238626745.145671,9689.71,181027,131.235437572695,-18.4,92.5181904449699,44.416666665,34.5526127730052,74.07
240841850.065832,9733.53,181352,131.290545908015,-15.6,93.2700977106067,36.5,29.7658251194101,74.07
243019973.509587,9631.62,181607,131.331841338318,-19.2,94.0154236252995,27.983333335,25.4864795204104,74.07
245157187.875888,9448.14,181452,131.358591422763,-17.4,94.7510661896806,38.616666665,21.6824719256394,74.07
247249613.226636,9483.1,181416,131.372023768333,-16.2,95.4828218620196,42.7,18.3228496367844,74.07
249294578.767047,9483.1,181738,131.375230723158,-12.2,96.2198119939672,56.016666665,15.3781917083318,74.07
251295521.62491,9483.1,182028,131.372939849803,-13.6,96.9752096549877,70.183333335,12.8213449098088,74.07
253262687.122842,9740.77,182290,131.36919208815,-13.6,97.7525659333462,78.216666685,10.6251181915711,74.07
255187580.498794,9764.23,182269,131.366082386476,-11.4,98.5457343963423,71.01666665,8.76223836948195,74.07
257060181.899908,9790.85,182363,131.36614884882,-6.2,99.356193354682,60.316666665,7.20776974758738,74.07
258870923.809972,9790.85,182301,131.37261059434,-44.2,100.192166545632,61.316666685,5.93950040609397,74.07
260615544.277689,9688.99,182288,131.389081891281,-13.4,101.066142087124,68.599999985,4.93739764823834,74.07
262272060.549975,9688.99,182550,131.417344468629,-17,101.980588880433,53.18333333,4.18193482721029,74.07
263829510.405425,9688.99,182785,131.458530065599,-12,102.939669212629,47.133333335,3.65509155643983,74.07
265280333.652972,9824.54,183102,131.512688805071,-11,103.937347311889,51.28333333,3.3398292558731,74.07
266598037.743915,9830.83,183002,131.577762893578,-9.6,104.957293439474,60.449999985,3.21974383629884,74.07
267766298.316181,9716.52,183038,131.652162246041,-10.4,105.992984121911,62.149999985,3.2795972255825,74.07
268775829.406629,9926.03,181422,131.735045543204,-10.4,107.048300156383,70.716666685,3.50562937720481,74.07
269624300.654983,9831.49,181197,131.826309104084,-9,108.12682304166,57.83333335,3.88625228492294,74.07
270317068.387626,9831.49,181157,131.926679744085,-4.8,109.2423294465,57.966666685,4.41252737955754,74.07
270874656.906578,9831.49,181148,132.037350091932,-2.2,110.413683357353,56.316666665,5.07722746670097,74.07
271329482.438517,9831.49,181198,132.158321521402,-40.4,111.648824527725,59.266666665,5.87368409920732,74.07
271694953.627233,9951.45,181158,132.287352737796,-6.2,112.944651342789,70.48333335,6.79542110718346,74.07
271969274.212671,10183.77,181154,132.420252365252,-10.4,114.286897305261,68.98333335,7.83567495232718,74.07
272157950.081414,10075.68,181086,132.553361732263,-13.2,115.667501452727,55.133333335,8.9893025542246,74.07
272270782.732322,10190.37,181064,132.683807591987,-10.8,117.086074133039,51.3,10.2526772649671,74.07
272321386.156048,10190.37,180976,132.809923777228,-7.6,118.545158943906,31.516666665,11.6229735063904,49.07
272333860.340373,10190.37,181198,132.931057152541,-21.2,120.048890875623,43.1,13.0978404326049,49.07
